,id,Recipient (video or comment),comment
119,Ugy8IXFEB8uzMoh6j5h4AaABAg,ooS0Hop_zhk,Those who brought the dragon wings. The TIMELORDEIN STAR EMPIRE. TIMELORDEA PRIME AND ARLIS PRIME FOR THE GREAT EMPIRE OF JUSTICE  THE LIGHT GUIDE US FOR FREEDOM CHA.VUNA !
120,UgwBa1iKbl6a73N4Tbp4AaABAg,ooS0Hop_zhk,"Imagine you are captain of a small Miranda class vessel or so and open the hailing channels just to be greeted with this... You know you are fucked, because an entire fleet of D´deridex-Warbirds is crossing your way."
121,UgwBa1iKbl6a73N4Tbp4AaABAg.9UqVoM9JOPv9UrsL_fh12_,UgwBa1iKbl6a73N4Tbp4AaABAg,"On the other hand, Warbirds may be larger and stronger than a Galaxy Class ship, but they use to have a weak spot in their arch, right behind the ""beak"". Or you just can blow up their reactors. Romulan singularity reactors are prone to explosions. Or was that the Garidians?"
122,Ugx2W46ctI7w3RyMTil4AaABAg,ooS0Hop_zhk,[Nickname Ghost Gen.Westie Rescue]=====[1] [Lagom] These enemies fight like sick dogs.+-----[⛨]
123,Ugx2W46ctI7w3RyMTil4AaABAg.9TIK0PBQSlu9TKIpVq7y1D,Ugx2W46ctI7w3RyMTil4AaABAg,"[Darth Bane/Apatros/Romulan Emperor -- Highest Leader of the ""Palpatine Dynasty""]You won. You control everything in the Romulan Empire."
124,Ugx2W46ctI7w3RyMTil4AaABAg.9TIK0PBQSlu9TIPO4HX2EX,Ugx2W46ctI7w3RyMTil4AaABAg,"[Darth Bane/Apatros/Romulan Emperor -- Highest Leader of the ""Palpatine Dynasty""]I SWEAR TO JUST TO KEEP AS MUCH OF EMPIRE INTACT AS POSSIBLE! I WILL ESTABLISH PEACE BY ANY MEANS NECESSARY!TAKE YOUR FUCKING-TRIBUTE AND GO HOME! Palpatine's territory is yours for the taking. We will not defend Him, nor, intervene.I SWEAR BY THE BLACKEST VOID THAT KEEPING MY EMPIRE INTACT IS THE HIGHEST IMPERATIVE!"
125,Ugx2W46ctI7w3RyMTil4AaABAg.9TIK0PBQSlu9TIPAWdhHuc,Ugx2W46ctI7w3RyMTil4AaABAg,[1] [Lagom] [Ilmatêr as The Grim Reaper/Death][Lagom] Comment: [Darth Nihilus is weaker than Darth Bane/Apatros/Romulan Emperor.[⛨]
126,Ugx2W46ctI7w3RyMTil4AaABAg.9TIK0PBQSlu9TIMqmPZ1j2,Ugx2W46ctI7w3RyMTil4AaABAg,"[Darth Bane/Apatros/Romulan Emperor -- Highest Leader of the ""Palpatine Dynasty""]THERE IS NO FUCKING DIFFERENCE!I FUCKING SILENCE MYSELF-I!"
127,Ugx2W46ctI7w3RyMTil4AaABAg.9TIK0PBQSlu9TIMa3Ly-w0,Ugx2W46ctI7w3RyMTil4AaABAg,[1] [Lagom] [Sammael-Malphas]=====[⛨]======[_War-and-Peace_-style Russian]=====[⛨] [1] [Lagom] [Sammael'-Mal'fas]=====[⛨]
128,Ugx2W46ctI7w3RyMTil4AaABAg.9TIK0PBQSlu9TIL0Fg5Y3o,Ugx2W46ctI7w3RyMTil4AaABAg,"[Darth Bane/Apatros/Romulan Emperor -- Highest Leader of the ""Palpatine Dynasty"" -- messages relayed from a professional - not possession]We will fight you to the end. TO THE FUCKINIG BLACKEST VOID WITH YOU! 3/7th of MY FUCKING (YES, WE ARE ALL FLUENT IN UNIVERSAL!!!!!) OFFIZIERS THREATENED TO FUCKING SHOOT ME! ROMULUS WILL NOW ENTER CIVIL WAR!Send Lord Malphas to us. Let us negotiate peace. YOU KNOW WHAT FUCK YOU! WE WILL COME FUCKING FOR YOU! THIS IS TOTAL WAR!GRABANAYA CHAST' DER'MA! YA YEBANY NENAVIZHU TEBYA! CHERTOVYY MIR DER'MA! DEN'! DEN'! DEN'! DEN'! DEN'!YA klyanus', chtoby prosto, blyat', istrebit' lyubogo iz moikh ofitserov, kotoryye, blyad', predayut Menya. YA beru samyy chernyy pakt Vechnogo Dukha Pustoty, chtoby ochistit' svoikh sobstvennykh ofitserov.Klyanus', ne ispol'zovat' Blood-Magicks na Federatsii; potomu chto tvoya grebanaya Memorial'naya bol'nitsa isportila moyu voskhititel'nuyu krov'.Klyanus', ne khlamit' Federatsiyu!"
129,Ugyd7EF47QccUJl9OKl4AaABAg,ooS0Hop_zhk,Hey - Can I please somehow obtain the instrumental to this song? I intend to use it...1 for my leisure 2 for a little projectI will credit you in all projects using this amazing music. Thank you in advance!
130,Ugyd7EF47QccUJl9OKl4AaABAg.9Rhogd0naws9XeVO35zkh1,Ugyd7EF47QccUJl9OKl4AaABAg,@Volker400 No best regards to you I listen to it multiple times a day that and the The Romulan Space Fleet March it’s just like wow
131,Ugyd7EF47QccUJl9OKl4AaABAg.9Rhogd0naws9XeUsSrJAh8,Ugyd7EF47QccUJl9OKl4AaABAg,"@Wafalme Thanks so much, Wafahne! I'm happy you enjoyed!I appreciate it very much!Best regards to you,Volker H. :)"
132,Ugyd7EF47QccUJl9OKl4AaABAg.9Rhogd0naws9Xd6am3IYA1,Ugyd7EF47QccUJl9OKl4AaABAg,@Volker400 Man I really love the way how you make the Romulan language sound and the way how the music sound it’s very satisfying
133,Ugyd7EF47QccUJl9OKl4AaABAg.9Rhogd0naws9XcQXT8dcqB,Ugyd7EF47QccUJl9OKl4AaABAg,@Wafalme I'll think about that. Many thanks!
134,Ugyd7EF47QccUJl9OKl4AaABAg.9Rhogd0naws9XZJDh9CYP8,Ugyd7EF47QccUJl9OKl4AaABAg,@Volker400 are you gonna make more Romulan star Empire music if you do can you make one for the Tal shiar
135,Ugyd7EF47QccUJl9OKl4AaABAg.9Rhogd0naws9Rje9vto5xD,Ugyd7EF47QccUJl9OKl4AaABAg,"Unfortunately, a pure instrumental version does not exist! I'm very sorry, dear Raja.   I always worked very economically at that time and put instruments and ""choir"" in a single track.Nethertheless thanks so much, andbest regards to you,Volker L. H. :)"
136,UgwocJ7uZ-Njbo974VR4AaABAg,ooS0Hop_zhk,Is there an instrumental version of this?
137,UgwocJ7uZ-Njbo974VR4AaABAg.9NBa6CakUn69NBaT6YzB4T,UgwocJ7uZ-Njbo974VR4AaABAg,"No, there isn't."
138,UgzXWhBE1QXUAY-Wpqh4AaABAg,ooS0Hop_zhk,I don't remember the Romulans ever having a ship that looked an awful lot like a K'Vort-class BoP....the Romulans stealing Klingon designs again?  :P
139,UgzXWhBE1QXUAY-Wpqh4AaABAg.9Maf2LgaXQ29Ov08dnJXOj,UgzXWhBE1QXUAY-Wpqh4AaABAg,"@the party don't stop till I walk in possible....but I never saw the Romulans use anything that looked like a B'Rel or K'Vort class BoP on-screen though...closest I think they got to a design like that was the Valdore-class single hull warbirds in ""Nemesis"""
140,UgzXWhBE1QXUAY-Wpqh4AaABAg.9Maf2LgaXQ29OfsvQwjVrw,UgzXWhBE1QXUAY-Wpqh4AaABAg,"@Joseph Amendolea The Romulans also used Klingon D7 battlecruisers in the original series and IIRC, it was canon that the two cultures traded ships and technology between one another"
141,UgzXWhBE1QXUAY-Wpqh4AaABAg.9Maf2LgaXQ29OfZMiwHlv3,UgzXWhBE1QXUAY-Wpqh4AaABAg,@the party don't stop till I walk in I do remember that the Romulans had BoP's....original Enterprise fought them a few times in TOS...butthey always seemed to be smaller and just not very Klingon-esque in design
142,UgzXWhBE1QXUAY-Wpqh4AaABAg.9Maf2LgaXQ29OVFg6ltR-O,UgzXWhBE1QXUAY-Wpqh4AaABAg,"When Star Trek III: The Search For Spock was being produced, the Bird of Prey was originally supposed to be a Romulan vessel"
143,Ugz1YHaVIiXZQwCaphN4AaABAg,ooS0Hop_zhk,Klingons will destroy all of your gods!
